backbone,optim,lr,batch_size,frac_val,early_start,epochs,output_tab,double_img,torch_version,torchvision_version,executed,mem_usage,cum_mem
regnet16,ranger,0.0005,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,2368,411264
regnet16,adam,0.001,16,0.2,100,100,5,0.0,1.12.0+cu113,0.13.0+cu113,1,2368,413632
efficient,adam,0.01,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2378,416010
efficient,radam,0.0001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2378,418388
efficient,adam,0.001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2378,420766
efficient,adam,0.0001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2378,423144
efficient,adam,0.0005,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2378,425522
efficient,ranger,0.01,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2378,427900
efficient,ranger,0.001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2378,430278
efficient,ranger,0.0001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2378,432656
efficient,ranger,0.0005,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2378,435034
efficient,sgd,0.01,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2378,437412
efficient,sgd,0.001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2378,439790
efficient,sgd,0.0001,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2378,442168
efficient,sgd,0.0005,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2378,444546
efficient,radam,0.01,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2378,446924
efficient,radam,0.0005,16,0.2,100,100,0,0.0,1.12.0+cu113,0.13.0+cu113,1,2378,449302
