epochs,iter,train_acc_history,train_auc_history,train_loss_history,train_sensitivity_history,train_specificity_history,val_acc_history,val_auc_history,val_loss_history,val_sensitivity_history,val_specificity_history,backbone,Usando OCT,Dual Image,optim,lr,frac_val,k_fold,model_id
27,1,0.7138103161397671,0.4960815695797345,366.4677692055702,0.005988023952095809,0.9861751152073732,0.7070063694267517,0.5,94.94671028852463,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
28,1,0.7221297836938436,0.5,355.68889886140823,0.0,1.0,0.7070063694267517,0.5,94.9639887213707,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
29,1,0.7221297836938436,0.5,356.84810796380043,0.0,1.0,0.7070063694267517,0.5,94.63546258211136,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
30,1,0.7221297836938436,0.5,354.8451009988785,0.0,1.0,0.7070063694267517,0.5,93.93241262435913,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
31,1,0.7221297836938436,0.5,355.29221391677856,0.0,1.0,0.7070063694267517,0.5,93.23566442728043,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
32,1,0.7221297836938436,0.5,355.1376156806946,0.0,1.0,0.7070063694267517,0.5,360.77797389030457,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
33,1,0.7221297836938436,0.5,355.7876646518707,0.0,1.0,0.7070063694267517,0.5,94.71033900976181,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
34,1,0.7221297836938436,0.5,353.6154838204384,0.0,1.0,0.7070063694267517,0.5,95.55553078651428,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
35,1,0.7221297836938436,0.5,354.69308230280876,0.0,1.0,0.7070063694267517,0.5,94.8854010105133,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
36,1,0.7221297836938436,0.5,356.4924023747444,0.0,1.0,0.7070063694267517,0.5,94.71608126163483,0.0,1.0,resnet,Não,Sim,radam,0.01,0.2,,3d9d827ff05349a9be05469fb93812c5
